name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Alpepine,NL Alpenden; FR Pin des Alpes; DE Zilberkiefer; IT Pino cembro; CZ Borovice limba; PL Sosna limba,Pinus cembra,Pinaceae,Süd-Tirol; Italy,Needles; twigs,,,Top/hart,4,Woody: Conifer,,,,,The Alpepine is an evergreen tree belonging to the Pinaceae family of European mountain ranges. Cultivated for the most part in Italy and Austria often reaches a height of 15-20 m with woody bark at the base; needles collected in bunches of 5.,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,Cypress; Elemi; Juniper; Lavender; Lavandin; Ravintsar; Rosemary Verbenone; Ylang-Ylang and spicy oils and citrus fruits.,,Do not ingest and do not use pure on the skin; causing skin irritation
Balsamfir,NL Balsemspar; FR Pin baumier; DE Balsamtanne; IT Abete balsamo; CZ Jedle balsámová; PL Jodła balsamiczna,Abies balsamea,Pinaceae,Canada,Needles; twigs,,β-pineen; α-pineen; δ 3-careen; bornyl acetaat; limoneen ,Top/hart,3,Woody: Conifer,Fresh; balsamic,hart/sacred,orange/green,earth/air,The balsamfir is a an evergreen tree belonging to the Pinaceae family. Cultivated for the most part in Canada and USA often reaches a height of 20 m. On the bark and leafs; blisters form full of resin and essential oils called Canadian Balm,Relaxing; Harmonizing; Supports airways; Purifying,Antibacterial; sooths the airways,Relaxing; purifying and bring emotional balance,Eases tired muscles,Pine; fir; juniper; west-indian sandalwood; benzoin,Native Americans use the balm as chewinggum,Can cause nausea in high concentration. Do not use during pregnancy
Basil,NL Basilicum; tropisch; FR Basilic; DE Basilikum; IT Basilico; CZ Bazalka pravá; PL Bazylia,Ocimum basilicum L,Lamiaceae,Comoren,leafs & flowers,,Methyl chavicol,Middle/Top,3,Herbal,Sweet; herbal,Root/Sacred,Yellow/Green,Earth/Fire,Tropical basil (Ocimum Basilicum) is an annual herb plant belonging to the Lamiaceae family of the tropical regions of Asia and Africa. Cultivated mostly in France and Italy reaches a height of 60 cm with erect stem; green oval leaves and white-rose flowers.,Revitalise,,,,Cypress; bergamot; rosewood; howood; geranium; litsea; sage; spice oils,The Egyptians put basilicum leafs in the tombs to protect the dead against demons and evil spirits;  Alexander the great brought basil with his armies to South-Europe,Use with moderation. It is preferable to avoid using it during pregnancy
Bee balm,"NL Bergamotkruid; FR Monarde; DE Monarda; IT Monarda; CZ Zavinutka trubkovitá; Monarda; PL Monarda
",Monarda fistulosa ct. Geraniol,Labiateae,France,plant,,,Top/Hart,5,Herbal,,,,,Bee balm is a perennial herb plant belonging to the Lamiaceae family of North America. It grows spontaneously for the most part in Canada; the United States and Mexico; often reaches a height of about 1 m; has gray-green leaves and highly scented purple-rosace flowers. ,Revitalise; Purifying;,,,,Roman Camomiles; Cypress; Patchouli; Rose; Geranium; lavender; Ylang-Ylang Petit grain Mandarine; and citrus oils.,,It is preferable to avoid using it during pregnancy
Benzoë,,Styrax benzoin,Styraceae,Iran,resin,,coniferyl benzoate; benzyl benzoate; benzoic acid,Base,3,Resinous,Herbaceous; spicy; sweet,,,,Benzoin (Styrax Benzoin) is a plant belonging to the Styracaceae family of Indonesia. Grown spontaneously for the most part in Vietnam; Cambodia; China and Thailand; it often reaches a height of 20 m with sloping bases covered by a gray bark from which emerges the precious resin and oval leaves; the darker on the top and covered with a slight whitish hair at the bottom. The flowers are yellowish outside and reddish inside. The fruit is a berry.,Relaxing; Supports airways; Purifying,,,,Amyris; Copal; Ginger; Jasmin; Geranium; Korander; Cinnamon; Lavender; Lavandin; Lemon; Marjoram; Neroli; Black Pepper; Rosemary and citrus oils.,,Use in moderation; Slightly toxic; Difficult to use due to its thinkness
Bergamot,"NL Bergamot; FR Bergamotte; DE Bergamotte; IT Bergamotto; CZ Bergamot; PL Bergamotka
",Citrus bergamia,Rutaceae,Italy,Peel,,d-limonene; Linalyl acetate; Linalol,Top,3,Citrus,Balsamic; Spicy; Warm,,,,Bergamot (Citrus Bergamia) is a tree belonging to the Rutaceae family; originating in tropical Asia. Cultivated for the most part in Italy and Côte d'Ivoire reaches a height of 5 m with woody bases; oval smooth dark green leaves; green and rounded fruits that become yellow with maturation.,Relaxing; Harmonizing; Purifying,,,,Cypress; Coriander; Geranium; juniper; Litsea; Myrrh; Neroli; Patchouli; Spices,,Photosensibilizing and phototoxic; not to be used before exposure to the sun!
Bergamotmint,"NL Bergamotmunt; FR Menthe bergamot; DE Bergamotteminze; IT Menta bergamotto; CZ Máta citronová; PL Mięta bergamotowa
",Mentha x citrata,Lamiaceae,France,Plant,,Linalol; Linalyl acetate,Top,3,Herbal: mint,Citrus; floral; sweet,,,,Mentha citrata is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia. It’s also called the bermamotmint because of its leafs smelling alot like the bergamotfruit. It contains no menthol.,,,,,Lavender; Lavandin; Ho; Geranium; Ylang Ylang; Eucalyptus; Rosemary; Citrusses,,Can be toxic in high concentration. Do not use during pregnancy.
Black pepper,"NL Zwarte peper; FR Poivre noir; DE schwarzer Pfeffer; IT Pepe nero; CZ Černý pepř; PL Pieprz czarny  
",Piper nigrum,Piperaceae,Madagascar,Seed,,Sesquiterpenes; limonene,Hart,3,Spicy,,,,,,Revitalise; Purifying,,,,,,
Bloodorange,"NL Bloedsinaas; FR Orange sanguine; DE Blutorange; IT Arancio; CZ Červený pomeranč; PL Krwista pomarańcza
",Citrus sinensis var.,Rutaceae,Sicily,Peel,,,Top,4,Citrus,,,,,Bloodorange (Citrus Sinensis) is an evergreen tree; belonging to the Rutaceae family of China. Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base; small green-dark leaves and clear whitish flowers. The fruits are larger and clearer than those of the bitter orange.,Relaxing; Harmonizing; Purifying,,,,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla and most of the existing oils,,Photosensibilizing and phototoxic; not to be used before exposure to the sun.
Cabreuva,"NL Cabreuva; 
FR Cabreuva
; DE Cabreuva
; IT Cabreuva
; CZ Cabreuva
; PL Cabreuva
",Myrocarpus fastigiatus,Fabaceae,Paraguay,Wood,,,Middle,3,Woody: Conifer,,,,,Cabreuva is a tropical tree belonging to the Fabacea family and cultivated for the most part in Paraguay; Argentina; Brazil. ,,,,,Ceder; Rose; Geranium; Lavender; Palmarosa; Lavandin; Conifers,,Do not use purly on skin
Cadetar,"NL Cadeteer; 
FR Goudron de cade; 
DE Cadeteer; IT Cade; CZ Jalovec červenoplodý; 
PL Cadetar  
",Juniperus oxycedrus,Cupressaceae,France,Bark and branches,,δ-cadinene; cubenol; cardinadienol,Base,6,Woody,,,,,Cade or Pirky juniper is an evergreen bush with big blackbrown berrys and long green needles belonging to the Cupressaceae family and originates from South-France,,,,,spices; pines and junipers,,"It’s all about the dosage DOSE LOW! Only one or 2 drops is enough!
Toxic in high concentration. Do not use during pregnancy; Can cause allergic reaction on skin 
"
Cajeput,"NL Cajeput; FR Cajeput; 
DE Cajeput; 
IT Melaleuca; 
CZ Kajeput; bělodřevý
; PL Kajeput  
",Melaleuca leucadendron,Myrtaceae,Vietnam,leaf,,1;8 cineole; limonene,Top,3,Herbal: Medicenal,Herbaceous; sweet; camphoraceous,,,,The Cajeput (Melaleuca Cajeputi) is a large evergreen tree belonging to the family of the Myrtaceae native to Malaysia. Cultivated mostly in Vietnam; Indonesia and Australia often reaches a height of 30 m with thick leaves and white flowers.,Revitalise; Supports airways; Purifying,,,,Cedar; Lavender; Lime; Marjoram; Thymian; Tea tree; Cypress; Juniper and Citrus oils,,Use with moderation
Camomile,"NL Kamille echte; 
FR Chamomille allemande; 
DE Kamille Echt; 
IT Camomilla vera; 
CZ Heřmánek pravý
; PL Rumianek  
",Matricaria recutita,Asteraceae,Nepal,Flower,,Farnesene; chamazulene; bisabolol oxide,Hart,3,Flower,,,,,The Matricaria recutita is herb belonging to the Asteraceae family; Cultivad most part in Hungary; France and Egypt it grows up to 60cm,Relaxing; Harmonizing; ,,,,lavandin; sage; neroli; ylang ylang,,Could cause allergic reaction when used beging allergic to composite flowers
Camphor,"NL Kamfer; 
FR Campfre; 
DE Kampfer; 
IT Canfora; 
CZ Kafr
; PL Cynamonowiec kamforowy
",Cinnamomum camphora,Lauraceae,China,Wood,,,Top,3,Herbal: Medicenal,,,,,Camphor is an evergreen plant belonging to the Lauraceae family of Eastern Asia. It grows mostly in China; Japan and Taiwan; often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process. The leaves are lanceolate; groovy; thick and persistent with White flowers and black drupa fruit,Harmonizing; Revitalise; Supports airways,,,,Basil; Benzoin; Cajeput; Chamomile; Rosemary; Pine; Cardamom; Cinnamon; Citronella; Elemi; Lavender; Lavendin; Ho; Lemon; Neroli and Citrus oils,,Use in moderation. Do not ingest or use pure skin; scratches or wounds. Pregnancy is not recommended.
Cardamon,"NL Kardamom; FR Cardamomum; DE Kardamom; IT Cardamomo
; CZ Kardamovník obecný; 
PL Kardamon  
",Elettaria cardamomum,Zingiberaceae,india,Seed,,1;8 cineole; terpenyl acetate,Top,3,Spicy,,,,,Cardamom (Elettaria Cardamomum) is a perennial herbaceous plant belonging to the Zingiberaceae family of Asian Tropical origin. Cultured for the most part in India; Sri Lanka and Laos often reach a height of 4 m with long silky saber leaves; long stems carry small flowers.,Harmonizing; Revitalise; Supports airways; Purifying,,,,Sweet Orange; Bergamot; Cinnamon; Cedar; Cloves; Elemi; Star Anis; Lime; Ylang-Ylang and citrus oils,,It is allergic and sensitizing
Cassia,"NL Cassia; 
FR Canelle cassia; 
DE Cassia
; IT Cassia; 
CZ Skořice; 
PL Cynamon chiński
",Cinnamomum cassia,Lauraceae,Vietnam,Bark; leaf,,Cinnamaldehyde,Hart,5,Spicy,,,,,,Revitalise; Purifying,,,,,,
Cedar Atlas,"NL Ceder Atlas; FR Cèdre Atlas; DE Cederholz Atlas; IT Cedro atlante; 
CZ Cedr atlas; PL Cedr Atlaski  
",Cedrus atlantica,Pinaceae,Morocco,Wood,,Himachalenes; atlantones,Base,4,Woody,,,,,Atlantic Cedar (Cedrus Atlantica) is an evergreen tree belonging to the Pinaceae family of Algeria. Cultivated for the most part in Morocco it often reaches a height of 40 m with woody bases at the base; pyramidal shape; majestic livery and light green leaves,Relaxing; Supports airways; Purifying; Supports airways; ,,,,,,Do not use during pregnancy
Cedar Himalaya,"NL Ceder Himalaya
; FR Cèdre; Himalaya; 
DE Cederholz Himalaya
; IT Cedro himalaya
; CZ Cedr Himalájský
; PL Cedr Himalajski  
",Cedrus deodara,Pinaceae,india,Wood,,Himachalenes; atlantones; himachalol,Base,4,Woody,,,,,The Himalayan cedar  (Cedrus Deodara) is an evergreen plant belonging to the Pinaceae family originally from the western side of the Himalayas. It grows mostly in India; Afghanistan; Tibet and Nepal; often reaches a height of 40 m with rather large bulks at the base with pendulum branches. The leaves are needle-shaped; softer and longer than those of other cedars,Relaxing; Supports airways; Purifying; Supports airways;,,,,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,,Do not use during pregnancy
Ceder Virginie,"NL Ceder Virginie
; FR Cèdre; Virginie; 
DE Cederholz Virginie; 
IT Cedro della virginia
; CZ Jalovec viržinský
; PL Jałowiec wirginijski
",Juniperus virginiana L,Cupressaceae,USA,Wood,,Thuyopsene; cedrol; cedrene,Base,3,Woody,,,,,Virginia Cedar (Juniperus Virginiana) is a majestic evergreen tree belonging to the Cupressaceae family of North America. Cultivated for the most part in North America and Canada often reaches a height of 35 m with woody bases at the base; lightheaded and light green cone. Plant also known as Virginia's Jungle,Relaxing; Supports airways; purifying; ,,,,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,,Do not use during pregnancy
Cinnamon,"NL Kaneel; 
FR Canelle feuille; DE Zimtblätter; 
IT Cannella; CZ Skořice; 
PL Cynamon  
",Cinnamomum zeylannicum,Lauraceae,Sri Lanka,Leaf,,Eugenol,Base,5,Spicy,,,,,Cinnamon (Cinnamomum Verum) is an evergreen tropical tree belonging to the Lauraceae family of Sri Lanka. Cultivated for the most part in Madagascar; it often reaches a height of 15 m with woody bases at the base; sturdy branches; thick bark and scabra; shiny green leaves and small white flowers,Harmonizing; Supports airways; Supports immunesystem; Purifying;,,,,Amyris; Star Anise; Lemongrass; Sweet Orange; Basil; Benzoin; Cajeput; Coriander; Sweet Fennel; Lavender; Lavendir; Red Mandarin; Ylang-Ylang and citrus oils,,Use with caution and dose very low! Cinnamon contains phenols and aldyhydes what can cause severe skin irritation if overdosed
Citronella 'Java',"NL Citronella 'Java'; FR Citronella 'Java'
; DE Citronella 'Java'; 
IT Citronella 'Java'; CZ Citronela; 
PL Citronella  
",Cymbopogon winterianus,Poaceae,China,Plant,,Geraniol; citronellol; citronellal,Top,3,Citrus,,,,,,Revitalise; Purifying,,,,,,
Bergamot,"NL Bergamot
; FR Bergamotte
; DE Bergamotte
; IT Bergamotto
; CZ Bergamot; 
PL Bergamotka
",Citrus bergamia,Rutaceae,Itlay,Peel,,,Top,3,Citrus,,,,,,Relaxing; Harmonizing; Purifying,,,,,,
Clove,"NL Kruidnagel; FR Clous de girofle; DE Nelkenblüte; IT Chiodi di garofano; CZ Hřebíček; PL Goździkowiec korzenny
",Eugenia caryophyllata,Myrtaceae,Indonesia,Flower; bud,,Eugenol; eugenyle acetate,,5,Spicy,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Combava leaf,"NL Combava blad; FR Combava feuille; DE Combava
; IT Combava foglia; 
CZ Limetka list; PL Limonka Kaffir  
",Citrus hystrix,Rutaceae,Madagascar,Plant,,,Top,3,Citrus,,,,,,"
Relaxing; Supports airways; Supports immunesystem
",,,,,,
Copal,"NL Kopal
; FR Copahu; 
DE Kopal
; IT Copal
; CZ Copaifera - pryskyřice; 
PL Copal
",Copaifera officinalis,Fabaceae,Brasil,resin,,β-caryophyllene,Base,3,Resinous,,,,,,Harmonizing; Supports airways,,,,,,
Coriander,"NL Koriander; FR Coriandre; DE Koriander; 
IT Coriandolo; CZ Koriandr setý; 
PL Kolendra  
",Coriandrum sativum,Apiaceae,Russia,Seed,,,Top,3,Spicy,,,,,,Relaxing; Harmonizing; Purifying,,,,,,
Cypres,"NL Cipress
; FR Cyprès; 
DE Zypresse; 
IT Cipresso
; CZ Cypřiš stálezelený; 
PL Cyprys wiecznie zielony
",Cupressus sempervirens,Cupressaceae,Spain,Leaf,,Pinene; δ 3 carene,Base,3,Woody,,,,,,Revitalise; Supports airways,,,,,,
Douglasfir,"NL Douglasspar; 
FR Sapin douglas; DE Douglasfichte; IT Abete di Douglas; CZ Douglaska tisolistá; 
PL Daglezja zielona  
",Pseudotsuga mensiensii,Pinaceae,France,Plant,,,Top,3,Woody,,,,,,Revitalise; Supports airways; Support immunesystem; Purifying,,,,,,
Elemi,"NL Elemi; FR Elemi; DE Elemi; IT Elemi; CZ Elemi pryskyřice
; PL Żywica kanarecznika
",Canarium luzonicum,burseraseae,Philippines,Resin,,Limonene; elemol; elemicine; α-phellandrene,Hart,3,Resinous,,,,,,Relaxing; Harmonizing;  Supports immunesystem; Purifying,,,,,,
Eucalyptus,"NL Eucalyptus citriodora
; FR Eucalyptus citriodora; 
DE Eucalyptus citriodora
; IT Eucalipto citridoro; 
CZ Eukalyptus citroníkový; 
PL Eukalyptus citroníkový
",Eucalyptus citriodora,Myrtaceae,Brasil,Leaf,,Citronellal; citronellol; isopulegol,Top,4,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Eucalyptus dives,"NL Eucalyptus munt; 
FR Eucalyptus menthole; 
DE Eucalyptus dives
; IT Eucalipto dives
; CZ Eukalyptus mátový
; PL Eukaliptus miętowy
",Eucalyptus dives,Myrtaceae,South-Africa,Leaf,,Piperitone; α-phellandrene,Top,3,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
