name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Eucalyptus globulus,"NL Eucalyptus globulus; FR Eucalyptus globulus; DE Eucalyptus globulus; IT Eucalipto globulus; CZ Eukalyptus globulus; PL Eukaliptus gałkowy  
",Eucalyptus globulus,Myrtaceae,Australia,Leaf,,1;8 cineole,Top,4,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Eucalyptus Smithii,"NL Eucalyptus smithii; 
FR Eucalyptus smithii; 
DE Eucalyptus smithii; IT Eucalipto smithii; CZ Eukalyptus smithii; 
PL Eukaliptus smithii  
",Eucalyptus smithii,Myrtaceae,South-Africa,Leaf,,1;8 cineole; limonene,Top,3,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Eucalyptus Staigeriana,"NL Eucalyptus staigeriana; FR Eucalyptus staigeriana
; DE Eucalyptus staigeriana; 
IT Eucalyptus staigeriana; CZ Eucalyptus staigeriana
; PL Eukaliptus staigeriana  
",Eucalyptus staigeriana  ,Myrtaceae,Brasil,leaf,,,Top,3,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Frankincense,"NL Wierook
; FR Encens
; DE Weihrauch; 
IT Incenso; 
CZ Kadidlovník pravý
; PL Kadzidłowiec Kartera
",Boswelia serrata,burseraseae,India,Resin,,Limonene; α-pinene; β-myrcene; β-caryophyllene,Base,2,Resinous,,,,,,Relaxing; Supports airways,,,,,,
Geranium,"NL Geranium
; FR Géranium
; DE Geranium
; IT Geranio
; CZ Pelargonie; 
PL Żurawka
",Pelargonium x asperum,geraniacea,Eygpt,Flower,,Citronellol; geraniol,Hart,5,Flower,,,,,,Relaxing; Harmonizing; Supports immunesystem,,,,,,
Ginger,"NL Gember 
FR Gingembre 
DE Ingwer
IT Zenzero 
CZ Zázvor
 PL Zázvor lékařský
",Zingiber officinalis,Zingiberaceae,China,Root,,Bisabolene; zingiberene,Hart,4,Spicy,,,,,,Revitalise; Supports airways,,,,,,
Grapefruit,"NL Grapefrui
 FR Pamplemousse 
DE Grapefruit
 IT Pompelmo 
CZ Grapefruit
 PL Grapefriut
",Citrus paradisi,Rutaceae,Argentina,Peel,,Limonene,Top,4,Citrus,,,,,,Harmonizing; Purifying,,,,,,
Green mint,"NL Groene munt  
FR Menthe verte 
DE Grüne Minze  
IT Menta verde  
CZ Máta klasnatá 
PL Mięta Zielona  
",Mentha viridis,Lamiaceae,India,Plant,,Myrcene; carvone; limonene,,4,Top,,,,,`,Revitalise; Supports airways,,,,,,
Ho leaf,"NL Ho blad 
FR Ho Feuille
 DE Hoblätter 
IT Ho foglia 
CZ Kafrovník Lékařský (listy) 
PL Ho liść
",Cinnamomum camphora,Lauraceae,Taiwan,Leaf,,Linalol,Hart,2,Flower,,,,,,Revitalise; Supports immunesystem,,,,,,
Ho wood,"NL Ho hout
 FR Ho; bois 
DE Hoholz 
IT Ho legno
 CZ Kafrovník lékařský (dřevo)
 PL Ho drewno
",Cinnamomum camph. Sieb,Lauraceae,China,Wood,,Linalol,Hart,4,Woody,,,,,,Revitalise; Supports immunesystem,,,,,,
Jasmin absolut,"NL Jasmijn absolutum 
FR Jasmin absolut  
DE Jasmin absolut
 IT Jasmin absolut 
CZ Jasmín
PL Jaśmin
",Jasminus offic.    ,Oleaceae,India,Flower,,Benzyl acetate; benzyl benzoate; phytol; isophytol,Hart,6,Flower,,,,,,Relaxing; Harmonizing,,,,,,
Jatamansi,"NL Jatamansi  
FR Jatamansi  
DE Jatamansi  
IT Jatamansi  
CZ Nard pravý 
PL Jatamansi  
",Nardostachys jatamansi,Poaceae,Himalaya,Root,,Calarene; nardol; aristolene,Base,4,Resinous,,,,,,Relaxing;  Purifying,,,,,,
Juniper Berry,"NL Jeneverbes 
FR Genévrier 
DE Wacholder 
IT Ginepro 
CZ Jalovec obecný 
PL Jałowiec pospolity (owoc)
",Juniperus communis,Cupressaceae,India,Branches and Fruit,,α-pinene; sabinene,Top,2,Herbal,,,,,,Revitalise; Purifying,,,,,,
Katrafay,"NL Katafray
 FR Katafray 
DE Katafray 
IT Katafray
 CZ Katafray
 PL Katafray
",Cedrelopsis grevei,Limonene,Madagascar,Wood,,β-caryophyllene; α-copaene,Base,,Woody: Conifer,,,,,,Relaxing; Harmonizing,,,,,,
Korean fir,"NL Koreaanse spar
 FR Sapin de Corée 
DE Abies 
IT Pino coreano 
CZ Jedle korejská
 PL Jodła koreańska
",Abies koreaensis,Pinaceae,South-Korea,Needles,,,Hart,3,Woody:Conifer,,,,,,Harmonizing; Supports airways; Purifying,,,,,,
Laural,"NL Laurier
 FR Laurier 
DE Lorbeerblatt
 IT Alloro 
CZ Vavřín vznešený; bobkový list 
PL Wawrzyn szlachetny
",Laurus nobilis L,Lauraceae,Turkey,Leaf,,1;8 cineole,Top,3,Herbal,,,,,,Harmonizing; Supports airways; Supports immunesystem; Purifying,,,,,,
Lavandin 'Super',"NL Lavandin 'Super'  
FR Lavandin 'Super'  
DE Lavadin 'Super'  
IT Lavadin 'Super'  
CZ Lavandin super
 PL Lawenda hybryda  
",Lavandula x hybrida 'super',Lamiaceae,Spain,Plant,,Linalol; linalyl acetate; camphor,Top,3,Flower,,,,,,"Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying
",,,,,,
Lavander,"NL Lavendel
 FR Lavande
 DE Lavender
 IT Lavanda officinale 
CZ Levandule lékařská 
PL Lawenda
",Lavandula officinalis,Lamiaceae,France,Plant,,Linalol; linalyl acetate,Hart,3,Flower,,,,,,"Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying
",,,,,,
Lemon,"NL Citroen
 FR Citron
 DE Zitrone 
IT Limone 
CZ Citron 
PL Cytryna
",Citrus limon,Rutaceae,Sicily,Peel,,Limonene,Top,3,Citrus,,,,,,Harmonizing; Revitalise; Supports airways; ports immunesystem; Purifying,,,,,,
Lemongrass,"NL Lemongrass 
FR Lemongrass 
DE Lemongras 
IT Lemongrass 
CZ Citronová tráva 
PL Trawa cytrynowa
",Cymbopogon flexuosus,Poaceae,India,Plant,,Neral; geranial,Top,3,Citrus,,,,,,Revitalise; Purifying,,,,,,
Lime,"NL Limoen
 FR Limette
 DE Limette 
IT Limetta
 CZ Limeta
 PL Limetka
",Citrus aurantifolia,Rutaceae,Mexico,Peel,,Limonene; γ-terpinene; α-terpineol,Top,3,Citrus,,,,,,Revitalise; Supports airways; ports immunesystem; Purifying,,,,,,
Litsea,"NL Litsea
 FR Litsée
 DE Litsea
 IT Litsea
 CZ Vavřín kubébový 
PL Werbena egzotyczna
",Litsea cubeba,Lauraceae,China,Fruit,,,Top,5,Citrus,,,,,,Harmonizing; Supports airways; Purifying,,,,,,
Mandarin; green,"NL Groene Mandarijn
 FR Mandarine verte
 DE Mandarine; grün 
IT Mandarin; green 
CZ Mandarinka zelená
 PL Zielona Mandarynka
",Citrus reticulata groen,Rutaceae,Itlay,Peel,,Limonene; γ-terpinene,Hart,4,Citrus,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Mandarin; red,"NL Mandarijn; rood 
FR Mandarine; rouge 
DE Mandarine röt
 IT Mandarino
 CZ Mandarinka červená 
PL Czerwona Mandarynka
",Citrus reticulata,Rutaceae,Spain,Peel,,Limonene; γ-terpinene,Hart,3,Citrus,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Mandarin; yellow,"NL Gele mandarijn 
FR Mandarin jaune
 DE Mandarine; gelb 
IT Mandarino giallo 
CZ Mandarinka; žlutá
 PL Mandarynka; żółta
",Citrus reticulata var. Yellow,Rutaceae,Itlay,Peel,,Limonene; γ-terpinene,Hart,4,Citrus,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Marjoram,"NL Marjolein
 FR Marjoleine à cocquilles
 DE Majoran
 IT Maggiorana
 CZ Majoránka zahradní 
PL Majeranek
",Majorana hortensis M.,Lamiaceae,Eygpt,Plant,,,Hart,4,Herbal,,,,,,Relaxing; Supports airways; Purifying,,,,,,
Martitime pine ,"NL Zeeden
 FR Pin maritime 
DE Maritime Kiefer 
IT Pino marittimo 
CZ Borovice přímořská 
PL Borovice přímořská
",Pinus pinaster,Pinaceae,Portugal,Resin,,Pinenes,Top,3,Woody:Conifer,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Mountain pine ,"NL Bergden  
FR Pin de montagne  
DE Latschenkiefer  
IT Pino mugo
 CZ Borovice kleč  
PL Kosodrzewina  
",Pinus mugo,Pinaceae,Itlay,Needles,,,Top,4,Woody:Conifer,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Myrrh,"NL Mirre     
FR Myrrhe
 DE Myrrhe
 IT Mirra
CZ Myrha
 PL Myrhovník pravý
",Commiphora myrrha,burseraseae,Somalia,Resin,,Curzerene; furanocudesmaoliene,Base,4,Resinous,,,,,,Relaxing; Purifying,,,,,,
Myrtle ,"NL Mirte
 FR Mirte
 DE Myrte
 IT Mirto
 CZ Myrta obecná 
PL Myrta
",Myrtus communis,Myrtaceae,Morocco,Leaf,,,Top,3,Herbal,,,,,,Harmonizing; Revitalise; Supports airways; Purifying,,,,,,
Niaouli CT cineol ,"NL Niaouli CT cineol  
FR Niaouli CT cineol  
DE Niaouli CT cineol
 IT Niaouli CT cineol  
CZ Niaouli CT cineol
 PL Niaouli  
",Melaleuca viridiflora,Myrtaceae,madagascar,Leaf,,1;8 cineole; viridiflorol,Hart,3,Herbal:Medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Nutmeg,"NL Muskaatnoot  
FR Noix de muscade  
DE Muskatnuss  
IT Noce moscata  
CZ Muškátový oříšek  
PL Gałka muszkatołowa
",Myristica fragrans,Myrtaceae,Vietnam,Fruit,,Pinene; myristicin,Hart,4,Spicy,,,,,,Revitalise,,,,,,
Orangeflower co-dist. ,"NL Oranjebloesem co-dist.  
FR Néroli co distille 
DE Orangenblüte co-dist. 
IT Fiore d'Arancio co-dist.
 CZ Hořký pomeranč; kvě t
PL Kwiat pomarańczy
",Citrus aurantium,Rutaceae,Morocco,Flower,,Linalol; trans nerolidol,Hart,4,Flower,,,,,,Relaxing; Harmonizing,,,,,,
Orangeflower; pure  ,"NL Oranjebloesem  
FR Néroli  
DE Orangenblüte; rein  
IT Fiore d'Arancio; puro
 CZ Hořký pomeranč; květ  
PL Kwiat pomarańczy  
",Citrus aurantium,Rutaceae,Morocco,Flower,,Linalol; trans nerolidol,Hart,5,Flower,,,,,,Relaxing; Harmonizing,,,,,,
Oregano,"NL Oregano
FR Origan
DE Oregano  
IT Oregano  
CZ Oregano; Dobromysl obecná
PL Oregano
",Origanum compactum,Labiateae,Albania,Plant,,Carvacrol; γ-terpinene,Hart,5,Herbal,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Palmarosa,"NL Palmarosa 
FR Palmarose 
DE Palmarosa 
IT Palmarosa
 CZ Voňatka Martinova; Palmorůžová
 PL Palczatka imbirowa
",Cymbopogon martinii; Roxh,Poaceae,madagascar,Plant,,Geraniol; geranyl acetate,hart,5,Flower,,,,,,Relaxing;  Supports airways; Purifying,,,,,,
Patchoeli,"NL Patchoeli
 FR Patchouli
 DE Patchouli
 IT Patchouli
 CZ Pačuli 
PL Paczulka wonna
",Pogostemon cablin,lamiaceae,Indonesia,Leaf,,,Base,4,Resinous,,,,,,Harmonizing,,,,,,
Peppermint,"NL Pepermunt
 FR Menthe poivré 
DE Pfefferminze 
IT Menta piperita 
CZ Máta peprná
 PL Mięta pieprzowa
",Mentha x piperita,lamiaceae,India,Plant,,Menthol; menthone,Top,4,Herbal:mint,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Petitgrain; mandarine ,"NL Petitgrain; mandarijn
 FR Petitgrain; mandarin 
DE Petitgrain; mandarine
 IT Petit grain; mandarino
 CZ Petitgrain; mandarinka obecná; list
 PL Petitgrain; Mandarinka
",Citrus reticulata Blanco,Rutaceae,Eygpt,Leaf,,N-methyl; methyl anthranilate; γ-terpinene,hart,3,Citrus,,,,,,Relaxing; Supports airways,,,,,,
Petitgrain; orange ,"NL Petitgrain; sinaas
 FR Petitgrain orange 
DE Petitgrain; orange
 IT Petit grain; arancio
 CZ Petitgrain; hořký pomerančovník
 PL Drzewo pomarańczowe (liść)
",Citrus aurantium var. Amara,Rutaceae,Paraguay,Leaf,,Linalol; linalyl acetate,hart,3,Citrus,,,,,,Relaxing; Supports airways,,,,,,
Ravintsara ,"NL Ravintsara   
FR Ravintsara   
DE Ravintsara   
IT Ravintsara
 CZ Směs kafru a eukalyptu
 PL Ravintsara  
",Cinnamomum camphora cineol,Lauraceae,madagascar,Leaf,,Sabinene; 1;8 cineole; α-terpineol,Top,3,Herbal:medicenal,,,,,,Revitalise; Supports airways; Purifying,,,,,,
Rhodondendron,"NL Rhodondendron
 FR Rhodondendron 
DE Rhodondendron 
IT Rhodondendron
 CZ Rhodondendron 
PL Rhodondendron
",Rhododendron anthopogon,lamiaceae,Nepal,Flower,,,,,Flower,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Rose; damascener  ,"NL Roos damascener  
FR Rose damas  
DE Rose; damascener  
IT Rose; damascener
CZ Růže
 PL Róża damasceńska
",Rosa damascena,rosaceae,Turkey,Flower,,Nerol; geraniol; citronellol,Hart,5,Flower,,,,,,Relaxing; Harmonizing,,,,,,
Rosemary CT cineol ,"NL Rozemarijn CT cineol 
FR Rosmarin 
DE Rosmarin CT cineol 
IT Rosmarin CT cineol
 CZ Rozmarýn CT cineol 
PL Rozmaryn
",Rosmarinus officinalis,Lauraceae,Morocco,Plant,,1;8 cineole,Hart,5,Herbal,,,,,,Revitalise; Supports airways; Supports immunesystem,,,,,,
Sage,"NL Salie
 FR Sauge Dalmate
 DE Salbei
IT Salvia 
CZ Šalvěj lékařská
 PL Szałwia
",Salvia officinalis,Lauraceae,France,Leaf,,Thuyones; camphor,Hart,5,Herbal,,,,,,Harmonizing; Supports airways; Supports immunesystem,,,,,,
Sandalwood; West Indies  ,"NL Sandelhout; West-Indisch
 FR Santal; Indes Occidentales 
DE Sandelholz; Westindische 
IT Sandalo Amyris 
CZ Santalové dřevo
 PL Drzewo sandałowe
",Amyris balsamifera,Rutaceae,India,Wood,,Valerianol; eudesmol,Base,2,Woody,,,,,,Relaxing,,,,,,
Scotch pine ,"NL Grove Den 
FR Pin sylvestre
 DE Kiefernnadel 
IT Pino silvestre 
CZ Borovice skotská 
PL Sosna zwyczajna
",Pinus sylvestris,Pinaceae,Balkan,Plant,,Pinenes; limonene; δ 3 carene,Top,4,Woody:Conifer,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Siam wood ,"NL Siam hout 
FR Bois de Siam
 DE Siamholz
 IT Fokenia
  CZ Siam dřevo 
PL Fokienia
",Fokienia Hodgensii,Cupressaceae,Vietnam,Wood,,Trans nerolidol; fokienol,Hart,3,Woody,,,,,,Revitalise,,,,,,
Siberian fir ,"NL Siberische spar 
FR Pin de Sibérie 
DE Fichtennadel 
IT Abete siberiano 
CZ Jedle sibiřská 
PL Jodła syberyjska
",Abies siberica,Pinaceae,Russia,Needles,,α-pinene; bornyl acetate; camphene; δ 3-carene,Top,3,Woody:Conifer,,,,,,Harmonizing;  Supports airways; Supports immunesystem; Purifying,,,,,,
Silverfir,"NL Zilverspar  
FR Sapin pectiné
 DE Weistanne  
IT Abete bianco
 CZ Jedle stříbrná  
PL Jodła srebrna  
",Abies alba Miller,Pinaceae,Austria,Leaf,,α- & β-pinene; limonene; camphene,Top,3,Woody:Conifer,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Spearmint,"NL Kruizemunt
 FR Menthe en Grappe 
DE Krauseminze 
IT Menta spicata 
CZ Spearmint
 PL Mięta zielona spearmint
",Mentha spicata,lamiaceae,China,Plant,,Myrcene; carvone; limonene,Top,4,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Staranise,"NL Steranijs 
FR Badiane 
DE Steranis 
IT Anice stellato  
CZ Badyán 
PL Anyż gwiaździsty
",Illicium verum,Magnoliacea,Indonesia,Fruit,,Trans anethole,Hart,5,Spicy,,,,,,Harmonizing; Supports airways; Purifying,,,,,,
Sweet orange ,"NL Zoete Sinaas  
FR Orange douce
 DE Orangeöl süß 
IT Arancio dolce
 CZ Sladký pomeranč 
PL Słodka pomarańcza
",Citrus sinensis,Rutaceae,Mexico,Peel,,Limonene,Top,3,Citrus,,,,,Sweet orange (Citrus Sinensis) is an evergreen tree; belonging to the Rutaceae family of China. Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base; small green-dark leaves and clear whitish flowers. The fruits are larger and clearer than those of the bitter orange.,Relaxing; Harmonizing; Purifying; disinfects the air; supports when having a cold or bronchitis; uplifts and relaxing when having stress; firms the skintension,,,,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla and most of the existing oils,,Photosensibilizing and phototoxic; not to be used before exposure to the sun
Tangerine,"NL Tangerine 
FR Tangerine
 DE Tangerine
  IT  Tangarino 
CZ Mandarinka tanžerína 
PL Tangerynka
",Citrus reticulata var. Tang,Rutaceae,Brasil,Peel,,,Hart,3,Citrus,,,,,,Relaxing; Supports airways; Supports immunesystem,,,,,,
Tea tree ,"NL Tea tree FR Melaleuce DE Teebaum IT Tea tree CZ Čajovník (tea tree) PL Drzewo herbaciane
",Melaleuca alternifolia,Myrtaceae,Australia,Leaf,,Terpineol 1;4; γ-terpinene,Top,3,Herbal:medicenal,,,,,,Harmonizing; Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Thuja,"NL Thuja 
FR Thuja
 DE Thuja
 IT Tuia coreana 
CZ Thuja - Zerav východní 
PL Żywotnik koreański
",Thuja koraiensis,Cupressaceae,China,Leaf,,Thuyone; fenchone,Top,4,Woody:Conifer,,,,,,Revitalise; Supports airways,,,,,,
Thymian ct Thymol  ,"NL Tijm ct thymol  
FR Thym; à thymol  
DE Thymian ct Thymol  
IT Thymian ct Thymol  
CZ Tymián bílý
 PL Tymianek  
",Thymus vulgaris thymoliferum,lamiaceae,France,Plant,,,Hart,6,Herbal,,,,,,Revitalise; Supports airways; Supports immunesystem; Purifying,,,,,,
Tokyo mint ,"NL Tokyo munt 
FR Menthe Tokyo 
DE Tokyo minze 
IT Menta Tokyo 
CZ Japonská máta 
PL Mięta Tokyo
",Mentha arvensis var.,lamiaceae,Spain,Plant,,,Top,4,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Vetiver,"NL Vetiver  
FR Vetyver  
DE Vetiver  
IT Vetiver  
CZ Vousatka  
PL Vousatka draslavá; Vetiver
",Vetiver zizanoides,Poaceae,Java,Root,,Vétivene; vétivenol; vétivenone,Base,5,Resinous,,,,,,Relaxing; Harmonizing; Supports immunesystem,,,,,,
Wild mint ,"NL Wild mint 
FR Akkermunt 
DE Menthe des champs 
IT Indische Minzöl
 CZ Menta campestre 
PL Máta divoká
",Mięta dzika,lamiaceae,China,Plant,,Menthol; menthone; isomenthone,Top,,Herbal:mint,,,,,,Revitalise; Supports airways,,,,,,
Wintergreen,"NL Wintergreen  
FR Wintergreen     
DE Wintergrün 
IT Wintergreen 
CZ Libavka
 PL Golteria
",Gaultheria fragrantissima,Ericaceae,Nepal,Leaf,,Methyl salicylate,Hart,5,Herbal,,,,,,Revitalise,,,,,,
Ylang ylang II ,"NL Ylang ylang II
 FR Ylang ylang II 
DE Ylang Ylang II 
IT Ylang ylang II
 CZ Kananga vonná - Ylang Ylang II 
PL Ylang ylang II
",Cananga odorata var. genuina,"
Anonaceae",madagascar,Flower,,Germacrene D; benzyl acetate; farnesene; benzyl benzoate,Hart,5,Flower,,,,,,Relaxing,,,,,,